City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,tindouf,27.6711,-8.1474,38.25,8,20,3.09,DZ,1682620290
191,stanisic,45.94,19.1653,8.18,59,6,1.9,RS,1682620290
192,tagta,41.6504,59.9164,19.97,32,0,2.06,TM,1682620291
193,boguchany,58.3814,97.4531,-1.85,98,100,0.95,RU,1682620291
194,new norfolk,-42.7826,147.0587,12.73,69,0,0.64,AU,1682620292
195,tafuna,-14.3358,-170.72,24.97,100,75,1.03,AS,1682620292
196,vigia,-0.8583,-48.1417,26.05,88,100,2.47,BR,1682620292
197,tyumentsevo,53.3224,81.498,14.46,50,100,4.98,RU,1682620293
198,guangshui,31.6199,113.9978,16.26,80,68,0.93,CN,1682620293
199,sao paulo de olivenca,-3.3783,-68.8725,32.94,51,49,0.76,BR,1682620293
200,hermanus,-34.4187,19.2345,15.45,80,28,5.12,ZA,1682620294
201,glendive,47.1053,-104.7125,8.79,76,100,12.35,US,1682620294
202,keszthely,46.7681,17.2432,12.94,47,0,1.54,HU,1682620294
203,phalaborwa,-23.943,31.1411,25.6,54,5,2.75,ZA,1682620294
204,saldanha,-33.0117,17.9442,15.03,83,0,1.24,ZA,1682620273
205,hovd,48.0056,91.6419,1.65,45,46,0.82,MN,1682620295
206,sharhorod,48.7383,28.085,7.05,69,99,4.15,UA,1682620295
207,severo-yeniseyskiy,60.3725,93.0408,-5.7,97,100,1.33,RU,1682620295
208,montepuez,-13.1256,38.9997,19.34,82,2,2.08,MZ,1682620295
209,mstsislaw,54.0192,31.7257,5.57,91,100,4.94,BY,1682620296
210,laojunmiao,39.8333,97.7333,-0.42,51,0,0.94,CN,1682620296
211,gantang,26.92,119.6333,16.42,91,100,0.96,CN,1682620296
212,fisterra,42.9049,-9.2629,18.9,77,100,1.03,ES,1682620296
213,caleta de carquin,-11.0925,-77.6267,23.19,81,81,5.75,PE,1682620297
214,ust-nera,64.5667,143.2,-11.32,96,22,0.93,RU,1682620297
215,zhangye,38.9342,100.4517,4.24,26,100,9.34,CN,1682620297
216,nyagan,62.1406,65.3936,0.11,96,100,4.27,RU,1682620298
217,luganville,-15.5333,167.1667,22.15,91,0,1.44,VU,1682620298
218,weno,7.4515,151.8468,24.97,100,100,4.12,FM,1682620298
219,kamaishi,39.2667,141.8833,7.23,64,1,3.83,JP,1682620299
220,miches,18.9836,-69.0476,32.11,72,38,4.84,DO,1682620299
221,kismayo,-0.3582,42.5454,27.62,77,100,5.59,SO,1682620299
222,la'ie,21.6477,-157.9253,23.98,92,0,0.45,US,1682620300
223,san jose,37.3394,-121.895,29.34,39,75,2.57,US,1682620018
224,kalymnos,36.95,26.9833,15.74,58,20,5.14,GR,1682620300
225,mermoz boabab,14.7065,-17.4758,26.31,83,0,5.14,SN,1682620300
226,hegang,47.4,130.3667,5.96,46,100,1.32,CN,1682620300
227,champerico,14.3,-91.9167,34.3,58,88,5.0,GT,1682620301
228,al mindak,20.1588,41.2834,16.78,59,2,1.28,SA,1682620301
229,saveh,35.0213,50.3566,22.26,35,3,5.45,IR,1682620301
230,pucallpa,-8.3791,-74.5539,28.02,69,75,5.14,PE,1682620302
231,tucurui,-3.7661,-49.6725,28.76,75,90,0.35,BR,1682620302
232,sisimiut,66.9395,-53.6735,1.56,84,13,2.4,GL,1682620276
233,pottmes,48.5833,11.1,14.37,54,75,1.54,DE,1682620302
234,cide,41.8921,33.0044,11.7,96,100,5.63,TR,1682620303
235,fortaleza,-3.7227,-38.5247,26.07,83,75,2.06,BR,1682619957
236,khark,29.2614,50.3306,25.47,66,0,0.67,IR,1682620303
237,afaahiti,-17.75,-149.2833,26.93,82,73,4.95,PF,1682620304
238,utrik,11.2278,169.8474,26.5,84,44,8.5,MH,1682620304
239,la foa,-21.7108,165.8276,22.23,82,78,5.07,NC,1682620304
240,berdigestyakh,62.0989,126.6992,-8.22,99,56,1.86,RU,1682620305
241,loiza,18.4313,-65.8802,32.57,77,40,6.69,PR,1682620305
242,port lincoln,-34.7333,135.8667,15.45,68,100,8.91,AU,1682620305
243,aykhal,66.0,111.5,-12.04,100,94,1.72,RU,1682620306
244,kachug,53.9606,105.8817,-2.2,90,5,1.31,RU,1682620306
245,qamdo,31.1667,97.2333,1.0,60,100,0.78,CN,1682620306
246,sale,34.0389,-6.8166,23.38,83,75,3.09,MA,1682620307
247,aroma,15.8167,36.1333,34.0,26,62,5.86,SD,1682620307
248,reda,54.6053,18.3472,8.35,65,0,1.79,PL,1682620307
249,robel,53.3755,12.6037,7.21,70,41,1.27,DE,1682620307
250,ataq,14.5377,46.8319,26.84,46,100,4.59,YE,1682620308
251,kulhudhuffushi,6.6221,73.07,28.89,76,74,2.68,MV,1682620308
252,aasiaat,68.7098,-52.8699,-1.05,84,38,3.04,GL,1682620308
253,port macquarie,-31.4333,152.9167,14.38,93,42,2.35,AU,1682620039
254,siwa oasis,29.2041,25.5195,22.08,42,0,8.81,EG,1682620309
255,khuzdar,27.7384,66.6434,20.7,37,97,1.2,PK,1682620309
256,ibiza,38.9088,1.433,20.68,80,0,3.09,ES,1682620278
257,murray bridge,-35.1167,139.2667,17.29,74,100,4.74,AU,1682620309
258,manismata,-2.4667,111.0333,23.38,100,100,0.68,ID,1682620310
259,maharajganj,27.1333,83.5667,26.33,27,0,1.26,IN,1682620310
260,st. john's,47.5649,-52.7093,6.55,81,100,7.2,CA,1682620310
261,anadyr,64.75,177.4833,-11.72,79,0,7.0,RU,1682620310
262,pacific grove,36.6177,-121.9166,26.33,72,0,2.06,US,1682620141
263,sile,41.1754,29.6133,11.98,67,100,2.83,TR,1682620311
264,shache,38.4167,77.2406,14.07,45,100,3.38,CN,1682620311
265,krasnogorskiy,54.6025,61.231,14.08,59,21,3.25,RU,1682620311
